"Ticker","Year","Quarter","DataSource","Result","QuarterEndPrice","CurrentPrice","OrdinaryShares","EpsAnnualized","BookValuePerShare","PaidUpCapital","Premium","Reserves","LtLiabilities","TotalFunds","FixedAssets","Depreciation","NetFixedAssets","NonCoreAssets","Investments","WorkInProgress","Cash","Receivables","AdvancesPrepaymentsLoansDeposits","Inventory","TotalCurrentAssets","StLiabilities","DeferredLiabilities","TotalStLiabilities","ApplicationOfFunds","EnergySales","CostOfProduction","GrossProfit","DividendIncome","ForexGainLoss","OtherIncome","AdminExpenses","OperatingProfit","InterestIncomeExpense","Depreciation","Provisions","ProfitBeforeTax","Bonus","ProfitAfterTax"
"GLH","2019/20","2","Published","NaN","0.0","262.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2022/23","1","Published","NaN","235.0","262.3","17856.11219","0.0","100.0","1785611.219","0.0","0.0","4794655.357","6580266.576","0.0","0.0","21328.163","0.0","0.0","7021967.242","3855.146","0.0","425701.266","0.0","429556.412","892585.241","0.0","892585.241","6580266.576","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2018/19","4","Published","NaN","0.0","262.3","14455.6","0.0","100.0","1445560.0","0.0","0.0","3238358.0","4683918.0","0.0","0.0","24368.0","0.0","0.0","4778140.0","3887.0","0.0","365259.0","0.0","369146.0","0.0","0.0","487736.0","4683918.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2020/21","4","Published","NaN","373.0","262.3","17843.76219","0.0","100.0","1784376.219","0.0","0.0","4114150.268","5898526.487","0.0","0.0","22389.34483","0.0","0.0","5989765.52","3670.90806","0.0","354882.2534","0.0","358553.1615","472181.5389","0.0","472181.5389","5898526.487","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2025/26","2","Published","NaN","250.0","262.3","18000.0","2.0893394444444446","110.76938788888889","1800000.0","0.0","193848.982","8051792.502","1.0045641484E7","0.0","0.0","7541.222","0.0","0.0","1.1078061137E7","13042.836","0.0","4773.616","0.0","17816.452","1057777.328","0.0","1057777.328","1.0045641483E7","0.0","0.0","0.0","0.0","0.0","28451.447","9562.898","18888.549","-84.494","0.0","0.0","18804.055","0.0","18804.055"
"GLH","2023/24","3","Published","NaN","212.0","262.3","18000.0","-1.1173900740740739","80.03297922222222","1800000.0","0.0","-359406.374","6426033.448","7866627.074","0.0","0.0","5253.818","0.0","0.0","8641537.531","6937.234","0.0","6440.21","0.0","13377.444","793541.719","0.0","793541.719","7866627.074","0.0","0.0","0.0","0.0","0.0","0.0","14809.246","-14809.246","-275.52","0.0","0.0","-15084.766","0.0","-15084.766"
"GLH","2017/18","3","Published","NaN","0.0","262.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2022/23","2","Published","NaN","294.0","262.3","17856.11219","0.0","100.0","1785611.219","0.0","0.0","4979247.075","6764858.294","0.0","0.0","21159.084","0.0","0.0","7202237.019","5084.612","0.0","439374.038","0.0","444458.65","902996.458","0.0","902996.458","6764858.295","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2025/26","3","Published","NaN","281.0","262.3","18000.0","2.1785983703703704","111.35866688888889","1800000.0","0.0","204456.004","8045649.918","1.0050105922E7","0.0","0.0","6914.91","0.0","0.0","1.1333550047E7","5749.901","0.0","7623.626","0.0","13373.527","1303732.562","0.0","1303732.562","1.0050105922E7","0.0","0.0","0.0","0.0","0.0","44805.893","15280.104","29525.789","-114.711","0.0","0.0","29411.078","0.0","29411.078"
"GLH","2024/25","1","Published","NaN","258.0","262.3","18000.0","-1.2920546666666668","78.693866","1800000.0","0.0","-383510.412","7055045.244","8471534.832","0.0","0.0","5222.186","0.0","0.0","9151594.984","14403.318","0.0","9558.342","0.0","23961.66","709243.999","0.0","709243.999","8471534.831","0.0","0.0","0.0","0.0","0.0","0.0","5739.964","-5739.964","-74.282","0.0","0.0","-5814.246","0.0","-5814.246"
"GLH","2019/20","4","Published","NaN","0.0","262.3","14455.59778","0.0","100.0","1445559.778","0.0","0.0","3641792.776","5087352.554","0.0","0.0","23516.38224","0.0","0.0","5411581.924","3071.40908","0.0","313442.2506","0.0","316513.6597","664259.4123","0.0","664259.4123","5087352.554","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2018/19","4","Audited","NaN","0.0","262.3","14455.6","0.0","100.0","1445560.0","0.0","0.0","3238358.0","4683918.0","0.0","0.0","24368.0","0.0","0.0","4778140.0","3887.0","0.0","365259.0","0.0","369146.0","0.0","0.0","487736.0","4683918.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2024/25","3","Published","NaN","236.57","262.3","18000.0","1.907063851851852","108.78525833333333","1800000.0","0.0","158134.65","7437107.529","9395242.179","0.0","0.0","5175.477","0.0","0.0","1.0173379848E7","8326.228","0.0","8960.076","0.0","17286.304","800599.451","0.0","800599.451","9395242.178","0.0","0.0","0.0","0.0","0.0","41451.591","15502.624","25948.967","-203.605","0.0","0.0","25745.362","0.0","25745.362"
"GLH","2022/23","4","Published","NaN","255.5","262.3","17856.11219","0.0","100.0","1785611.219","0.0","0.0","5322583.872","7108195.091","0.0","0.0","20820.925","0.0","0.0","7916756.013","6289.391","0.0","374191.761","0.0","380481.152","1209862.999","0.0","1209862.999","7108195.091","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2021/22","2","Published","NaN","489.0","262.3","17856.11219","0.0","100.0","1785611.219","0.0","0.0","4360460.913","6146072.132","0.0","0.0","21941.599","0.0","0.0","6284170.288","6450.623","0.0","347681.663","0.0","354132.286","514172.0395","0.0","514172.0395","6146072.134","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2023/24","2","Published","NaN","267.5","262.3","18000.0","-1.0872616666666666","80.32739099999999","1800000.0","0.0","-354106.962","5780470.931","7226363.969","0.0","0.0","5650.08","0.0","0.0","8406093.815","10240.728","0.0","10561.589","0.0","20802.317","1206182.243","0.0","1206182.243","7226363.969","0.0","0.0","0.0","0.0","0.0","0.0","9596.025","-9596.025","-189.33","0.0","0.0","-9785.355","0.0","-9785.355"
"GLH","2020/21","1","Published","NaN","0.0","262.3","14455.59778","0.0","100.0","1445559.778","0.0","0.0","3755864.744","5201424.522","0.0","0.0","23266.123","0.0","0.0","5539289.271","3380.003","0.0","313635.29","0.0","317015.293","678146.1645","0.0","678146.1645","5201424.523","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2018/19","1","Published","NaN","0.0","262.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2024/25","4","Published","NaN","272.62","262.3","18000.0","2.410605777777778","109.76556627777778","1800000.0","0.0","175780.193","7648402.659","9624182.852","0.0","0.0","7618.128","0.0","0.0","1.053316672E7","20645.183","0.0","9213.117","0.0","29858.3","946460.295","0.0","946460.295","9624182.853","0.0","0.0","0.0","0.0","0.0","63574.206","19925.871","43648.335","-257.431","0.0","0.0","43390.904","0.0","43390.904"
"GLH","2021/22","3","Published","NaN","415.0","262.3","17856.11219","0.0","100.0","1785611.219","0.0","0.0","4500820.611","6286431.83","0.0","0.0","21718.412","0.0","0.0","6478901.726","4226.757","0.0","355071.6","0.0","359298.357","573486.6645","0.0","573486.6645","6286431.831","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2019/20","3","Published","NaN","0.0","262.3","14455.59778","0.0","100.0","1445559.778","0.0","0.0","3562379.459","5007939.237","0.0","0.0","23894.98893","0.0","0.0","5167878.688","26736.71042","0.0","412419.6876","0.0","439156.398","622990.8375","0.0","622990.8375","5007939.237","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2023/24","4","Published","NaN","216.1","262.3","18000.0","-1.8356227777777778","79.01687961111112","1800000.0","0.0","-377696.167","6872382.842","8294686.675","0.0","0.0","5669.852","0.0","0.0","8876893.786","6341.076","0.0","12550.302","0.0","18891.378","606768.341","0.0","606768.341","8294686.675","0.0","0.0","0.0","0.0","0.0","-11255.93","21429.438","-32685.368","-355.842","0.0","0.0","-33041.21","0.0","-33041.21"
"GLH","2025/26","1","Published","NaN","244.0","262.3","18000.0","2.405193111111111","110.32601644444445","1800000.0","0.0","185868.296","7862674.028","9848542.324","0.0","0.0","7013.419","0.0","0.0","1.0811660841E7","10420.487","0.0","4532.334","0.0","14952.821","985084.757","0.0","985084.757","9848542.324","0.0","0.0","0.0","0.0","0.0","15143.157","4273.607","10869.55","-46.181","0.0","0.0","10823.369","0.0","10823.369"
"GLH","2019/20","1","Published","NaN","0.0","262.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2020/21","3","Published","NaN","397.0","262.3","17843.76219","0.0","100.0","1784376.219","0.0","0.0","4006385.891","5790762.111","0.0","0.0","22681.60358","0.0","0.0","5805786.388","15993.49768","0.0","353392.7551","0.0","369386.2528","407092.1347","0.0","407092.1347","5790762.11","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2018/19","3","Published","NaN","0.0","262.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"GLH","2017/18","1","Published","NaN","0.0","262.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2022/23","3","Published","NaN","434.0","470.0","3400.0","-9.820903529411765","117.43202264705882","340000.0","0.0","59268.877","949829.808","1349098.685","0.0","0.0","1310192.403","0.0","0.0","0.0","3507.668","9738.798","71187.737","0.0","84434.203","45527.921","0.0","45527.921","1349098.685","114870.649","14078.825","100791.824","0.0","0.0","0.0","7118.01","93673.814","-84288.704","34428.414","0.0","-25043.304","0.0","-25043.304"
"AHL","2014/15","3","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2021/22","1","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2017/18","2","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2010/11","2","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2011/12","4","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2013/14","1","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2022/23","4","Audited","NaN","330.0","470.0","3400.0","-12.434330294117647","112.36336970588235","340000.0","0.0","42035.457","936051.817","1318087.274","0.0","0.0","1300495.758","0.0","0.0","0.0","487.709","29492.336","62760.453","0.0","92740.498","75132.561","16.421","75148.982","1318087.274","148794.748","18576.245","130218.503","0.0","0.0","0.0","11638.898","118579.605","-114888.879","45967.449","0.0","-42276.723","0.0","-42276.723"
"AHL","2013/14","4","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2015/16","1","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2021/22","4","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2020/21","2","Published","NaN","0.0","470.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"AHL","2023/24","1","Published","NaN","322.0","470.0","3400.0","-0.27483411764705884","112.56230794117647","340000.0","0.0","42711.847","952616.709","1335328.556","0.0","0.0","1289309.0","0.0","0.0","0.0","10878.872","26279.93","64208.553","0.0","101367.355","55347.773","0.0","55347.773","1335328.582","47824.681","4641.735","43182.946","0.0","0.0","0.0","2059.662","41123.284","-30161.735","11195.158","0.0","-233.609","0.0","-233.609"
